name,occurrences,essays
"Bandini Luigi","1","L'italiano, una lingua tra le altre lingue;Umanesimo e marxismo;"
"Bandinu Bachisio","1","La sfida al labirinto;Luigi Malerba, Le parole abbandonate;"
"Banfi Antonio","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Togliatti e De Gasperi;"
"Banti Anna","1","Giammaria Ortes;"
"Barachini Danilo","1","L'italiano, una lingua tra le altre lingue;Abbiamo vinto ín molti;"
"Baratieri Oreste","4","Vittorini: progettazione e letteratura;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;"
"Barbato Antonio","1","L'antitesi operaia;L'insostenibile leggerezza dell'essere di Milan Kundera;"
"Barbey d'Aurevilly Jules¬≠ AmeÃÅdeÃÅe","6","Natura e storia nel romanzo;Scrittori che disegnano;Il mare dell'oggettività;La geografia delle fate;Tre correnti del romanzo italiano d'oggi;2. Rapidità;La sfida al labirinto;L'esattezza e il caso (per Tommaso Landolfi);"
"Barbiellini Amidei Gaspare","1","La sfida al labirinto;Luigi Malerba, Le parole abbandonate;"
"Barca Luciano","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;L'estate del '56;"
"Bargellini Piero","1","Pavese: essere e fare;Carlo Collodi, Pinocchio;"
"Barnum Phineas Taylor","2","Natura e storia nel romanzo;Il museo dei mostri di cera;La «belle époque» inaspettata;II cielo, l'uomo, l'elefante (su Plinio il Vecchio);"
"BaronJacques","1","L'antitesi operaia;La filosofia di Raymond Queneau;"
"Barral Carlos","1","II romanzo come spettacolo;Palomar nel Massachusetts;"
"BarrauJacques","1","Vittorini: progettazione e letteratura;Palomar e l'enciclopedia;"
"Barrili Anton Giulio","4","Per una letteratura che chieda di più (Vittorini e il Sessantotto);Savona: storia e natura;"
"BarthJohn","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;La mia città è New York;"
"Barthelme Donald","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;La mia città è New York;"
"Barthes Roland","26","Vittorini: progettazione e letteratura;Tradurre è il vero modo di leggere un testo;Filosofia e letteratura;Charlot e i finti tonti;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Pietro Redondi, Galileo eretico;Due interviste su scienza e letteratura;Al di là della paura;II romanzo come spettacolo;Palomar nel Massachusetts;Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Sono stato stalinista anch'io?;L'estate del '56;I ritratti del Duce;Lezioni americane;Altri discorsi dí letteratura e società;Descrizioni e reportages;Pagine autobiografiche;Indice dei nomi;I livelli della realtà in letteratura;In memoria di Roland Barthes;Tre correnti del romanzo italiano d'oggi;3. Esattezza;La conoscenza pulviscolare in Stendhal;Guida alla Chartreuse a uso dei nuovi lettori;Colloquio con Ferdinando Camon;"
"Bartholdi FreÃÅdeÃÅric Auguste","1","Natura e storia nel romanzo;Com'era nuovo il Nuovo Mondo;"
"Bart6k BeÃÅla","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Esami;"
"Basevi Enrica","1","Per Fourier: 2. L'ordinatore dei desideri;Colloquio con Ferdinando Camon;"
"Basile Giambattista","21","Dialogo di due scrittori in crisi;Le sette principesse di Nezami;L'antilingua;Le fiabe africane;I racconti di Mamma l'Oca di Charles Perrault;La mappa delle metafore (Il Pentamerone di G.B. Basile);Vittorini: progettazione e letteratura;La tradizione popolare nelle fiabe;Sette fiasche di lacrime;11 fantastico nella letteratura italiana;"
"Bassani Giorgio","7","Tre correnti del romanzo italiano d'oggi;3. Esattezza;La sfida al labirinto;Le poesie politiche di Pavese;Vittorini: progettazione e letteratura;Lettera di uno scrittore «minore»;Filosofia e letteratura;La paura di sbagliare;II romanzo come spettacolo;Palomar nel Massachusetts;"
"Bataille Georges","11","Vittorini: progettazione e letteratura;Perché leggere i classici;Definizioni di territori: l'erotico (Il sesso e il riso);Quaderno americano;Pavese: essere e fare;La città-romanzo in Balzac;L'antitesi operaia;Biffures di Michel Leiris;La filosofia di Raymond Queneau;Colloquio con Ferdinando Camon;"
"Battaglia Roberto","8","Vittorini: progettazione e letteratura;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;"
"Baudelaire Charles","22","La sfida al labirinto;II Pasticciaccio;Natalia Ginzburg o le possibilità del romanzo borghese;Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Lezioni americane;Scrittori che disegnano;La città pensata: la misura degli spazi;Il mare dell'oggettività;Le avventure di tre orologiai e di tre automi;Tre correnti del romanzo italiano d'oggi;3. Esattezza;Pavese: essere e fare;La città-romanzo in Balzac;La «belle époque» inaspettata;Poe tradotto da Manganelli;La conoscenza pulviscolare in Stendhal;L'isola del tesoro ha il suo segreto;Roberto Calasso, La rovina di Kasch;Giovanni Macchia, Le rovine di Parigi;La filosofia di Raymond Queneau;Non darò più fiato alle trombe;Queneau e I fiori blu;Vittorini: progettazione e letteratura;Racconti fantastici dell'Ottocento;"
"Bauer Riccardo","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Ritratto di Massimo Mila;"
"Bausani Alessandro","3","Dialogo di due scrittori in crisi;Le sette principesse di Nezami;"
"Baziin Francisco Garda","1","Pavese: essere e fare;Carlo Collodi, Pinocchio;"
"Bazlen Roberto (detto Bobi)","4","Ricordo di Bobi Bazlen;Un'amara serenità;In memoria di Sergio Solmi;"
"Bazzero Ambrogio","1","Vittorini: progettazione e letteratura;Un'antologia di racconti «neri»;"
"Beatles","1","Il mare dell'oggettività;L'arcipelago dei luoghi immaginari;"
"Beaumont- Mme Le Prince de","1","L'antilingua;I racconti di Mamma l'Oca di Charles Perrault;"
"Beckett Samuel","17","Il mare dell'oggettività;La sfida al labirinto;Vittorini: progettazione e letteratura;11 fantastico nella letteratura italiana;Un'antologia di racconti «neri»;Filosofia e letteratura;Glí amori difficili dei romanzi coi film;Le amiche e Pavese (lettera aperta a Michelangelo Antonioni);Luis Butiuel;Definizioni di territori: l'erotico (Il sesso e il riso);Diario dell'ultimo venuto;Tre correnti del romanzo italiano d'oggi;4. Visibilità;Appendice: Cominciare e finire;Dialogo di due scrittori in crisi;Charles Dickens, Our Mutuai Friend;Amica ironia di Guido Almansi;Corrispondenza con Angelo Guglielmi a proposito della Sfida al labirinto;Perché scrivete?;Reinhoud;Per Fourier: 1. La società amorosa;Intervista di Alberto Arbasino;"
"BeÃÅcquer Gustavo Adolfo","2","Vittorini: progettazione e letteratura;Racconti fantastici dell'Ottocento;11 fantastico nella letteratura italiana;"
"Beethoven Ludwig van","1","L'antitesi operaia;L'insostenibile leggerezza dell'essere di Milan Kundera;"
"Beli Graham","1","II romanzo come spettacolo;Palomar nel Massachusetts;"
"Bellarmino Roberto","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Pietro Redondi, Galileo eretico;"
"Belli Giuseppe Gioacchino","5","Tre correnti del romanzo italiano d'oggi;2. Rapidità;La sfida al labirinto;Primo Levi, La ricerca delle radici;L'italiano, una lingua tra le altre lingue;Letteratura, città aperta?;Mancata fortuna del romanzo italiano;"
"Bellocchio Piergiorgio","1","Dialogo di due scrittori in crisi;Charles Dickens, Our Mutuai Friend;"
"Bellow Saul","3","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Situazione 1978;La mia città è New York;"
"Beltrame Achille","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;I ritratti del Duce;"
"Bembo Bonifacio","1","Il mondo alla rovescia;Cartoline dall'America;"
"BendaJulien","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Fato antico e fato moderno di Giorgio de Santillana;"
"Benedetti Arrigo","1","L'italiano, una lingua tra le altre lingue;La letteratura italiana sulla Resistenza;"
"Benevolo Leonardo","3","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Ricordo di Franco Antonicelli;Situazione 1978;"
"Benjamin Walter","11","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;La mia città è New York;Intervista di Maria Corti;Tre correnti del romanzo italiano d'oggi;Appendice: Cominciare e finire;Pavese: essere e fare;La città-romanzo in Balzac;La sfida al labirinto;Giovanni Macchia, Le rovine di Parigi;L'antitesi operaia;Omaggio a Octavio Paz;La filosofia di Raymond Queneau;"
"Benn Gottfried","1","Tre correnti del romanzo italiano d'oggi;3. Esattezza;"
"Benoit Pierre","1","Il mare dell'oggettività;L'arcipelago dei luoghi immaginari;"
"Benveniste EÃÅmile","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Lo sguardo da lontano di Claude Lévi-Strauss;"
"Berchet Giovanni","1","Vittorini: progettazione e letteratura;La «Biblioteca romantica» Mondadori;"
"Berenson Bernard","1","Ricordo di Emilio Cecchi;"
"Bergson Henri","3","L'italiano, una lingua tra le altre lingue;Umanesimo e marxismo;Ilya Prigogine e Isabelle Stengers, La nuova alleanza;Per Fourier: 1. La società amorosa;Autobiografia politica giovanile;"
"Berkeley George","1","Il mare dell'oggettività;La luce negli occhi;"
"Bernanos Georges","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Fato antico e fato moderno di Giorgio de Santillana;"
"Bernardini Marzolla Piero","2","La «belle époque» inaspettata;Ovidio e la contiguità universale;"
"Bernari Carlo","1","L'italiano, una lingua tra le altre lingue;La letteratura italiana sulla Resistenza;"
"BernoulliJohann","2","Il mare dell'oggettività;Le avventure di tre orologiai e di tre automi;"
"Berrini Nino","1","L'italiano, una lingua tra le altre lingue;La letteratura italiana sulla Resistenza;"
"Bersezio Vittorio","1","La sfida al labirinto;Silvio Micheli, Pane duro;"
"Bertacchini Renato","1","Pavese: essere e fare;Carlo Collodi, Pinocchio;"
"Berthoud Ferdinand","1","Il mare dell'oggettività;Le avventure di tre orologiai e di tre automi;"
"Bertillon Alphonse","1","Per chi si scrive? (Lo scaffale ipotetico);Carlo Ginzburg, Spie: radici di un paradigma indiziario;"
"Bethe Hans Albrecht","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Turbare l'universo di Freeman Dyson;"
"Betti Paolo","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Celeste Negarville;"
"Betussi Giuseppe","1","Tre correnti del romanzo italiano d'oggi;2. Rapidità;"
"Biagi Guido","2","Vittorini: progettazione e letteratura;La «Biblioteca romantica» Mondadori;"
"Bianchi Bandinelli Ranuccio","1","Natura e storia nel romanzo;La Colonna Traiana raccontata;"
"Bianchi Gustavo","1","Vittorini: progettazione e letteratura;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;"
"Bianchi Pietro","1","Filosofia e letteratura;L'eclisse di Antonioni;"
"Bianchini Angela","2","Vittorini: progettazione e letteratura;I cavalieri del Graal;"
"Bianciardi Luciano","1","Vittorini: progettazione e letteratura;La «tematica industriale»;"
"Bianconi Bernardi Fulvia","1","Viaggio, dialogo, utopia;"
"Bierce Ambrose","1","Vittorini: progettazione e letteratura;Racconti fantastici dell'Ottocento;"
"Bigiaretti Libero","2","L'italiano, una lingua tra le altre lingue;Saremo come Omero!;"
"Bigongiari Piero","1","L'antitesi operaia;Francis Ponge;"
"Bilenchi Romano","2","Tre correnti del romanzo italiano d'oggi;1. Leggerezza;Inchiesta;"
"Bioy Casares Adolfo","1","Tre correnti del romanzo italiano d'oggi;2. Rapidità;"
"Bixio Nino","1","Vittorini: progettazione e letteratura;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;"
"Blake William","2","Definizioni di territori: il comico;Una mostra di William Turner;"
"Blanchot Maurice","5","Vittorini: progettazione e letteratura;Perché leggere i classici;Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Lezioni americane;Scritti di politica e costume;I livelli della realtà in letteratura;Colloquio con Ferdinando Camon;"
